Entity,MVP Field,JSON Path,Type,Unit / Format,Enum / Constraint,Stored or Derived,Target Table,Target Column,Source System,System of Record,Cadence,Status,Decision Ref,Notes
fund,name,fund.name,string,text,,Stored,fund,name,Platform (user entry),Platform,Static,Confirmed,ADR-013,Single evergreen vehicle today; table allows multiple vehicles later.
fund,currency,fund.currency,string,ISO 4217,USD | CAD,Stored,fund,reporting_currency,Platform config,Platform,Static,Confirmed,ADR-008,"CONFIRMED CAD (Q3). Schema keeps per-amount currency + FX columns so one future USD position is a data question, not a migration."
fund,vintage,fund.vintage,integer,YYYY,,Stored,fund,inception_year,Platform (user entry),Platform,Static,Confirmed,ADR-013,"Inception year, not a closed-end vintage."
fund,style,fund.style,enum,text,evergreen | closed-end,Stored,fund,style,Platform config,Platform,Static,Confirmed,ADR-013,Confirmed evergreen. Drives labels app-wide.
fund,capitalBase,fund.capitalBase,decimal,$M,,Stored,fund,capital_base,Finance - transaction registry,Finance,On change,Confirmed,ADR-011,"Permanent capital base. Should be a dated series, not a scalar, if it changes."
fund,committed,fund.committed,decimal,$M,,Stored,fund,committed,Finance - transaction registry,Finance,Static,Confirmed,ADR-011,Closed-end only. Unused in evergreen mode - retain for schema compatibility.
fund,called,fund.called,decimal,$M,,Stored,fund,called,Finance - transaction registry,Finance,Static,Confirmed,ADR-011,Closed-end only. Unused in evergreen mode - retain for schema compatibility.
fund,distributionPolicy,fund.distributionPolicy,string,long text,,Stored,fund,distribution_policy,Platform config,Platform,On change,Confirmed,ADR-013,Printed on board reports next to DPI.
fund,feeDragPct,fund.feeDragPct,decimal,pct points,0-100,Stored,fund,fee_drag_pct,Platform config,Platform,Annual,Confirmed,ADR-013,Net IRR = gross - this. Labelled an estimate on screen. Keep the label.
fund,annualPlatformTarget,fund.annualPlatformTarget,integer,count,,Stored,fund,annual_platform_target,Platform (user entry),Platform,Annual,Confirmed,ADR-013,Pipeline target tracker.
fund,annualFollowOnBudget,fund.annualFollowOnBudget,decimal,$M,,Stored,fund,annual_followon_budget,Platform (user entry),Platform,Annual,Confirmed,ADR-013,Reserves tool budget line.
fund,ytdPlatformsClosed,fund.ytdPlatformsClosed,integer,count,,Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,MVP stores it. Derive from pipeline deals with funnel=Closed in current FY - do not store.
fund,reservesPolicy,fund.reservesPolicy,string,long text,,Stored,fund,reserves_policy,Platform config,Platform,On change,Confirmed,ADR-013,Text of the heuristic used by the reserves suggester.
fund,navHistory[].q,fund.navHistory[].q,string,YYYY-Qn,,Stored,fund_nav_snapshot,period_label,Derived (computed),Platform,Quarterly,Confirmed,ADR-006,Replaced by fund_nav_snapshot keyed on period_end (a date). Fiscal and calendar labels are both derived. Frozen on board-report issue.
fund,navHistory[].nav,fund.navHistory[].nav,decimal,$M,,Derived,fund_nav_snapshot,nav,Derived (computed),Derived,Quarterly,Confirmed,ADR-006,Should be SUM(latest valuation_mark per company as of period end). Freeze on report issue.
fund,navHistory[].cost,fund.navHistory[].cost,decimal,$M,,Derived,fund_nav_snapshot,cumulative_cost,Derived (computed),Derived,Quarterly,Confirmed,ADR-006,"Cumulative invested cost as of period end, from transaction registry."
fund,distributions[].date,fund.distributions[].date,date,YYYY-MM-DD,,Stored,transaction,txn_date,Finance - transaction registry,Finance,Per event,To Build,ADR-011,RESOLVED (Q4): single transaction table is authoritative. Becomes a transaction row of type 'realization'. Registry is being built as part of this platform (ADR-011).
fund,distributions[].amount,fund.distributions[].amount,decimal,$M,> 0,Stored,transaction,amount,Finance - transaction registry,Finance,Per event,To Build,ADR-011,RESOLVED (Q4): single transaction table is authoritative. Duplicates company.realized in the MVP - see reconciliation note.
fund,distributions[].company,fund.distributions[].company,string,text,,Stored,transaction,company_id,Finance - transaction registry,Finance,Per event,To Build,ADR-011,RESOLVED (Q4): single transaction table is authoritative. Free-text company name in MVP. Must become a company_id FK.
fund,distributions[].note,fund.distributions[].note,string,text,,Stored,transaction,note,Finance - transaction registry,Finance,Per event,To Build,ADR-011,"RESOLVED (Q4): single transaction table is authoritative. e.g. 'Acquisition proceeds', 'Partial secondary'."
company,id,companies[].id,string,Cnnn,unique,Stored,company,company_id,Platform (user entry),Platform,Static,Confirmed,ADR-013,Internal surrogate key. Keep the Cnnn format so Daniel's exports stay readable.
company,name,companies[].name,string,text,,Stored,company,name,Affinity,Affinity,On change,Confirmed,ADR-009,Affinity is SoR for company identity.
company,sector,companies[].sector,enum,text,10 values (SECTORS),Stored,company,sector_id,Affinity,Affinity,On change,Confirmed,ADR-009,MVP list is generic tech sectors. Confirm it matches the Affinity field values.
company,stage,companies[].stage,enum,text,Pre-Seed..Growth,Stored,company_state,stage,Affinity,Affinity,On change,Confirmed,ADR-009,Changes over time - move to a dated state table so stage-at-entry is recoverable.
company,vintage,companies[].vintage,integer,YYYY,,Derived,company,vintage_year,Derived (computed),Derived,Static,Confirmed,ADR-002,Derive from first investment transaction date. Do not hand-enter.
company,health,companies[].health,enum,text,green|yellow|red,Stored,company_state,health,Platform (user entry),Platform,Quarterly,Confirmed,ADR-013,Analyst/IC judgement. Who sets it and when is an open question.
company,instrument,companies[].instrument,enum,text,5 values (INSTRUMENTS),Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,Company-level instrument is the latest round's instrument. Derive from rounds.
company,ownershipPct,companies[].ownershipPct,decimal,% (11.2 = 11.2%),0-100,Stored,company_ownership,ownership_pct,Platform (user entry),Platform,Per round,To Build,ADR-012,"Platform becomes system of record via company_ownership (dated). Populated at close going forward, backfilled from SharePoint files for history."
company,invested,companies[].invested,decimal,$M,,Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,MUST be SUM(transaction where type in investment/follow_on). MVP stores it alongside rounds[].invested with nothing enforcing agreement.
company,fmv,companies[].fmv,decimal,$M,,Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,MUST be the latest valuation_mark. MVP stores it alongside marks[] with nothing enforcing agreement.
company,realized,companies[].realized,decimal,$M,,Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,MUST be SUM(transaction where type = realization). Duplicates fund.distributions in MVP.
company,exited,companies[].exited,boolean,Y/N in CSV,,Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,Derive from presence of an exit event.
company,exitDate,companies[].exitDate,date,YYYY-MM-DD,,Stored,company_exit,exit_date,Finance - transaction registry,Finance,Per event,Confirmed,ADR-011,Optional in MVP - only present on generated demo companies.
company,exitType,companies[].exitType,enum,text,Acquisition | Shutdown / write-off | IPO | Secondary,Stored,company_exit,exit_type,Platform (user entry),Platform,Per event,Confirmed,ADR-013,MVP has only two values in demo data. Confirm the full list you report on.
company,ceo,companies[].ceo,string,text,,Stored,company,ceo_name,Affinity,Affinity,On change,Confirmed,ADR-009,Affinity person record.
company,hq,companies[].hq,string,"City, Prov",,Stored,company,hq_city / hq_region,Affinity,Affinity,On change,Confirmed,ADR-009,Split into city / province / country columns. NB flag drives mandate reporting - do not keep as free text.
company,desc,companies[].desc,string,long text,,Stored,company,description,Affinity,Affinity,On change,Confirmed,ADR-009,One-line business description used in memo prefill.
company,source,companies[].source,enum,text,8 values (SOURCES),Stored,company,source_channel_id,Affinity,Affinity,Static,Confirmed,ADR-009,Sourcing channel. Confirm Affinity has a controlled-vocabulary field for this.
