Field ID,Field Name,Field Type,Value Type,Fill,Target Table,Target Column,Transform,Use,Notes
listEntry.id,Affinity Row ID,entity,int64,348/348,company / pipeline_deal,affinity_row_id,direct,Yes,Confirmed identical to the CSV export's "Affinity Row ID" on 162/162 rows.
entity.id,Organization Id,entity,int64,348/348,company / pipeline_deal,affinity_org_id / affinity_opportunity_id,direct,Yes,THE entity-resolution spine. Confirmed identical to the export's "Organization Id" on 162/162 rows - closes the ADR-009 namespace question.
entity.name,Name,entity,text,348/348,company / pipeline_deal,name,trim,Yes,Some values are bare domains (agrogenesolutions.com). Normalise before crosswalking to Finance.
entity.domain,Website,entity,text,see note,company,website,normalise host,Yes,The crosswalk key to Visible and Finance. Null on early-stage pipeline entries; 80/80 on portfolio.
field-5470690,Status,list,ranked-dropdown,347/348,pipeline_deal / company,funnel_stage_id + funnel_label,via affinity_status_map,Yes,"16 options with ranks 1-16, seeded from dropdown metadata. Drives Pipeline vs Portfolio membership. ONE entry has no Status - see note on NOT NULL below."
field-5470691,Owners,list,person-multi,267/348,pipeline_deal_owner,"user_id, owner_email, owner_name",full list,Yes,"Accumulates; mirror every owner, do not pick one. Governs pipeline stages (ADR-009)."
field-5470707,Deal Flow Stage Changed,list,datetime,213/348,pipeline_deal,stage_changed_date,parse in US/Pacific,Yes,"Verified anchored to Pacific midnight: 2026-08-11T07:00:00Z. Pin the timezone or every date lands a day early."
field-5470703,Source of Deal,list,dropdown-multi,203/348,company / pipeline_deal,source_channel_id + source_label,"verbatim, split multi",Yes,"27 options with five duplicates for one channel (Porfolio Intro / Portfolio company / Portfolio Company / Portfolio Company Introduction / Portfolio Introduction). Being merged in Affinity - sync stays verbatim (decision, 12 Aug 2026)."
field-5470696,Pass Reason,list,dropdown-multi,127/348,pipeline_deal,NEW COLUMN,verbatim multi,New,"NOT IN THE SCHEMA. 36% fill across 16 options - why deals die, for the whole 348-entry list rather than the 162 the exports show. Contains junk options: 'Option 1', 'Founder did not followed up'."
field-5470705,Follow-up Date,list,datetime,70/348,pipeline_deal,NEW COLUMN,parse in US/Pacific,New,Not in the schema. Feeds a stale-deal alert more directly than last_email_date does.
